#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	spl
#open	2021-05-09-13-37-16
#fields	uid	orig_spl	resp_spl	orig_spt	resp_spt
#types	string	vector[count]	vector[count]	vector[double]	vector[double]
CXr7L6cOZbIauwbRg	40,240,256	40,416,96	0.0,1.429757,0.001304	0.0,0.075274,0.0
Cgl4rc3iih69DSzLQ9	40	40	0.0	0.0
C6tB9N2Q2f3ahP9Jmg	40	40	0.0	0.0
CPi0332sUzOpe6HoE9	40	40	0.0	0.0
CeWuCd1P1vFAHYa7Ei	40	40	0.0	0.0
CcoN06KGXkZ8WYIW6	40	40	0.0	0.0
CyBhb34evzjeF3X9h2	40	40	0.0	0.0
Ct9MEL1r0YyGssyZyj	40	40	0.0	0.0
CqubbF43XLzJuRXbVc	40	40	0.0	0.0
CKlQLR1XAC04EwX3Gd	40	40	0.0	0.0
CjmjXgOnJhB5o5fW2	40	40	0.0	0.0
CQPQj62nzTQCVuRUi1	40	40	0.0	0.0
C5BLFq3ZTEbh86p9O	40	40	0.0	0.0
Csguxa2DNY65LW2Cm3	40	40	0.0	0.0
CDD6KjV3QZksPyB5b	40	40	0.0	0.0
CSzK3t1QGiiH9B0gNe	40,296	40,288	0.0,0.025006	0.0,0.376737
CS7Qov3qoppttoxeE1	40	40	0.0	0.0
CKedQe1beMmdDDMPwf	40	40	0.0	0.0
CboGBZ3NTJuRpoEWw6	40	40	0.0	0.0
ClsPvz4qrKFY8PlOml	40	40	0.0	0.0
CEQ5rfEGvGboR4Fd9	64	64	0.0	0.0
CynjSpkodQmT04HD7	40	40	0.0	0.0
CNG2WB47KoGWSDHvmg	40	40	0.0	0.0
C5vo6IPrE8cIlZjye	40	40	0.0	0.0
CmDGTg3wJZIvBHcd4d	40	40	0.0	0.0
CTsXTS3Pt0EYISHYQ2	40	40	0.0	0.0
Cb82r64LK80lAhamG6	40	40	0.0	0.0
CG1Ga2Dm5FlV8oiHd	40	40	0.0	0.0
CK1Vuz1LWtrjAnNu3k	40	40	0.0	0.0
CVijSy48ilhoA7LbTf	64	64	0.0	0.0
C4a3W64ze2AQtcC6Z3	40	40	0.0	0.0
CL9cjm3iEzmz0vlam4	40	40	0.0	0.0
CKL1iE3rqxf4zPzCB7	40	40	0.0	0.0
CPcVAx4shDVHxbg3j2	40	40	0.0	0.0
C1uOCf2g0JIitfnhDi	40	40	0.0	0.0
CVVQ1K1OsNno9W6lre	40	40	0.0	0.0
Co3aFE40p69qrSHzt7	40	40	0.0	0.0
CmJxka3ARovDH8mbW6	40	40	0.0	0.0
Cg81gc1F8uLwaai0rk	40	40	0.0	0.0
CI6CZ04nEP7IW6K2f5	40	40	0.0	0.0
CJ5odh4xJXnllwLzw3	40	40	0.0	0.0
CdfXEB1LA3T9OHdSU8	40	40	0.0	0.0
CPQWre3y8RyBJoBdBa	40	40	0.0	0.0
C69isM1ncy5am93MMd	40	40	0.0	0.0
C6JBzA4g2OLN38P50g	40	40	0.0	0.0
Cp3MMe2GiMftZO3NC	40	40	0.0	0.0
C9wwyc4lipUeHhzWp2	40	40	0.0	0.0
C7OAyxUBp8zPzEq2l	40	40	0.0	0.0
C7cNIr2i9wqbRMcRk9	40	40	0.0	0.0
CbzOJ22xRvWd2nMth	40	40	0.0	0.0
CoOVME4uvk74MG3Ndi	40	40	0.0	0.0
C3FSTx1PmMiTSjBmZk	40	40	0.0	0.0
Ctr0Tu2mx6KqDm50E	40	40	0.0	0.0
CDycug1O7XdJAj0Mrh	40	40	0.0	0.0
CtTwcD3jYCxTa85S7	40	40	0.0	0.0
CDtBcp2BoVyccvizxe	40	40	0.0	0.0
CoLObw3JgtZcC4YXre	40	40	0.0	0.0
CsWPmy5o8gASZ40l9	40	40	0.0	0.0
CkTqbI2bTEU8dNedc5	60,894	60,319,22	0.0,0.04182	0.0,0.021162,10.000008
CxZbgf0Yqkargirwe	40	40	0.0	0.0
CLi4xY3gXm9WTi7Veg	40	40	0.0	0.0
CXlgbd1TTmTAFfAde5	40	40	0.0	0.0
C9Lirzm4h77Sj4bGi	40	40	0.0	0.0
CZPWjd3zO1JbmrLcN3	40	40	0.0	0.0
CPgsSl22tD82pzPinf	40	40	0.0	0.0
CqYQDX2rKSQazKgVX3	40	40	0.0	0.0
CWjRzppzKuuHgLyv9	40,26	40,26	0.0,0.002991	0.0,0.183003
COE8rZVv2dshiD1o1	40	40	0.0	0.0
CfE3vW1MiPLis3jzEb	40	40	0.0	0.0
CYJhSo2ttqOqr2fPpi	40	40	0.0	0.0
CYqDsv2RiG2mFj5P8g	40	40	0.0	0.0
CARbap3kDF5iLM5hs1	40	40	0.0	0.0
CVi9zw3NJTfNYb2qw5	40	40	0.0	0.0
CCApDM38INFA068eU6	40	40	0.0	0.0
C4gdX93dkJegKcSHl1	40	40	0.0	0.0
CwwHrW1RIHHPqIlE89	40	40	0.0	0.0
C0Wh7U3ogA2FTCPmQ7	40	40	0.0	0.0
CCPfDNfimy4gRoYzh	40	40	0.0	0.0
CSFXceRdDR3X49qCc	40	40	0.0	0.0
CE5c5T3ufu1a0jAF0k	40	40	0.0	0.0
Cxhe691bHn9xcIjVhg	40	40	0.0	0.0
CvX3yM3sC7mif9R3ma	40	40	0.0	0.0
CO7BOx1PkYJ53Kchl7	40	40	0.0	0.0
C3LHZ53fZcJT8CUX76	40	40	0.0	0.0
ChHk292m8Li2KnK88k	40	40	0.0	0.0
CeAIGB3JklWCXzCwCb	40	40	0.0	0.0
CimUak2TXzyIQcZbBh	40	40	0.0	0.0
Cpc4SJ2mFycxbtNMZ8	40	40	0.0	0.0
CkrDqF1A4UhBvJdlk	40	40	0.0	0.0
CLg0J54EAnPUUB9g37	40	40	0.0	0.0
CpoJgi36UuAcRhoI44	40	40	0.0	0.0
C9DgsU15EXtfJpI6lh	40	40	0.0	0.0
Cu50MA1hng3OfO4a7b	40	40	0.0	0.0
Cdv0QzsM82wr9TeLl	40	40	0.0	0.0
CBdMEm47vip5nNlbA1	40	40	0.0	0.0
CiPJEc2HLxJthuu1Tj	40	40	0.0	0.0
CiHqf04sdN36NbyMIi	40	40	0.0	0.0
CKkwK22FFe21UTB947	40	40	0.0	0.0
CJU8aF3TiwLVvx8kyd	40	40	0.0	0.0
CAI4m030WQ0tItHB45	40	40	0.0	0.0
CxsJId24mb9GZzwGij	40	40	0.0	0.0
Cng03i3wNpPqOmM5rh	40	40	0.0	0.0
CKDZi72QhhiaXFOJE6	40	40	0.0	0.0
C1zLYadWawQweO0d8	40	40	0.0	0.0
C6fnbR3cO9wXyhbLf8	40	40	0.0	0.0
CsBaER3atK0lwEk10k	40	40	0.0	0.0
CIIePk20hBRuvW8W35	40	40	0.0	0.0
CawrZq3gqIg0omEVxi	40	40	0.0	0.0
CjIl2f3R6bJXBLpqm2	40	40	0.0	0.0
CWDEZp417JvIka0TS5	40	40	0.0	0.0
CMOOtm4WV9th0pOo69	64	64	0.0	0.0
Cun6F542vPAKoTakK6	40	40	0.0	0.0
Cbk9974xjPUmOdMqfb	40	40	0.0	0.0
CVRwPv113DvqjM20Ec	40	40	0.0	0.0
CsqqPX2I1oNuJs0kv1	40	40	0.0	0.0
Cbm9LA3pXJplT6wBW7	40	40	0.0	0.0
CwhgNwutuy0ZO1eT2	36,727,792,795,794,795,791,794	36,462,30,8116,162,28,445,231,28,394,796,394,545,394,437,394,512,395,2078	0.0,3.968328,2.497321,0.154524,0.258578,0.073084,0.070138,0.304952	0.0,0.25643,0.0,0.002018,0.000205,0.0,0.250437,0.0,0.0,0.263473,0.0,0.249416,0.0,0.263174,0.0,0.249612,0.0,0.260297,0.956745
Co7Ywg48bMEQ0xEuv2	40	40	0.0	0.0
CJ6thj3Z48wHBT5g88	36,781,792,786,790	36,396,1620,394,416,446,1165,28,394,530	0.0,0.06232,0.138785,0.43,0.436715	0.0,0.481181,0.00006,0.255143,0.0,0.259004,0.000041,0.0,0.259929,0.0
Cbo0P11qaN7L2U3NP3	40	40	0.0	0.0
CYy7p91rehuI6Kama	40	40	0.0	0.0
CxINUO2z8gPlFBdNg	40	40	0.0	0.0
CUYbBW3YoQbYiPYaDh	40	40	0.0	0.0
C4eZx3T0EL3JoaQQd	40	40	0.0	0.0
C0S77m2xo1W6QNOsti	40	40	0.0	0.0
CVhCpv2WvEbj2u6tnk	40	40	0.0	0.0
CATcWKLNLvz9KVQIh	40	40	0.0	0.0
CqUBKK24m6E3IyrFOk	40	40	0.0	0.0
C7QQ4FouC0GaSk3fb	40	40	0.0	0.0
Cns0us40EJwNbOfhbk	40	40	0.0	0.0
C1ypei3J3to3qkM2x	40	40	0.0	0.0
Cmdkfg23CSxQ4vC6nh	40	40	0.0	0.0
CYFWOm1mVjNhtQAI0i	40	40	0.0	0.0
CNB2i7E1YDUkGNsS8	40,26	40,26	0.0,0.012039	0.0,0.186959
CVKPhy38ngveqbf1k8	40	40	0.0	0.0
CYkyBH3ww22n4r8IF2	36,560,563,560,560	36,396,3437,395,1625,395,4106,395,1598	0.0,0.025517,0.045305,0.036166,0.018061	0.0,1.423465,0.148691,0.278475,0.000677,0.278852,0.947989,0.278939,0.000043
CAXLrm18ERyfNJIXAi	40	40	0.0	0.0
CInI221IYk40JN8YVi	40	40	0.0	0.0
CfhQTY1mqR5tIEuei9	40	40	0.0	0.0
CFL82d2k1cpkYMYM18	40	40	0.0	0.0
CtdjZ04MgVHn0epIo3	40	40	0.0	0.0
C2SWmMFnzkyx9Zeq4	40	40	0.0	0.0
CSZBCb3STAxzNeCkDa	40	40	0.0	0.0
CMJMtw1Y36dNPYuN82	40	40	0.0	0.0
CDwtbP2WscwisgTCG7	40	40	0.0	0.0
C7YI5E2wHQo1BD2fBg	40	40	0.0	0.0
CCkE7h2RfFvwRdUjL	40	40	0.0	0.0
CRPUSw4riQmVGJ9poa	40	40	0.0	0.0
CHeaoZqwyMSmZpVFj	40	40	0.0	0.0
CQKJxVTNILWqQMeLg	40	40	0.0	0.0
CCKCjb1Ci1zTtcmSe8	40	40	0.0	0.0
COmX7m3IWZv5xN9Gef	40	40	0.0	0.0
CddAKl40msQoXQn7gh	40	40	0.0	0.0
CTiZO1AdO1utR3of3	40	40	0.0	0.0
CFdyu62bqPMsgagBIe	40	40	0.0	0.0
CHUeKF4IeMsmloX4ue	40	40	0.0	0.0
CCH4Q42X3sXzZ3tCzk	40	40	0.0	0.0
CSz7yBJS1MotFAkt6	40	40	0.0	0.0
CUG6yE48wp4czyEPdg	40	40	0.0	0.0
C4y1bF4P5PdO98vNtd	40	40	0.0	0.0
CllSE02nyGohsTDga3	40	40	0.0	0.0
CHoE1O1Ui0qkan4Fra	40	40	0.0	0.0
CZFG4F1h93pMf2Enc2	40	40	0.0	0.0
CW9aEb139Neg94i5u5	40	40	0.0	0.0
CZvN0i2GQ4YHu8Sxwb	40	40	0.0	0.0
CQlefi4c97y87luqfb	40	-	0.0	-
CYoKDX2wwoCcdWsfa	40	40	0.0	0.0
CCdPvb4NieSRnH920i	40	40	0.0	0.0
CmjbVh3UsiXdtvdvH2	40,26	40,26	0.0,0.014099	0.0,0.189893
CbdAC03idyVeijigO4	40	40	0.0	0.0
Cg6IKM28JX4nKNHzM8	40	40	0.0	0.0
CyMtke2gCoOXBCeEI4	40	40	0.0	0.0
CikC2OrMVR0NRQX5i	40	40	0.0	0.0
CrYchgCuO8C6kiLpb	40	40	0.0	0.0
C5ZEY025rC3OmAFWT6	40	40	0.0	0.0
Cn1OsQ2bDMRf3yWPm4	40	40	0.0	0.0
CuZWB73piPaQ94kG86	40,608	40,11480	0.0,0.307357	0.0,0.003677
CPew4w4lLNUIJDaO2i	40	40	0.0	0.0
CHKjCk3scCF52Rfwnf	40	40	0.0	0.0
CSTSanouzxD8Gs2w3	40	40	0.0	0.0
C4a9Yb3r0qljc8Tbvb	40	40	0.0	0.0
CueUjf1ru8hLFHq4qc	40	40	0.0	0.0
CVxV3A2eJ979SQJGX	40	40	0.0	0.0
CdVwQC2FQIHE542io7	40	40	0.0	0.0
Cd5AsU3rDYSzc0rTb	40	40	0.0	0.0
CIjbiJ3nFVFS311Xw9	64	64	0.0	0.0
CS0Wd5UUhjZ6aoePi	40	40	0.0	0.0
CvNQN711oLtrs7NzI9	40	40	0.0	0.0
Ctp6sc1AGKtc4JAvTh	40	40	0.0	0.0
CmLj0U3cf3rFbnCVj5	40	40	0.0	0.0
CZ5bJy2WZcLUaVCX5i	40	40	0.0	0.0
C5RILmFkPFjXZaBE8	40	40	0.0	0.0
CmgYOq1gPcOb9a1hEl	40	40	0.0	0.0
CnuUdAnb7lIWDNBMj	40	40	0.0	0.0
CqZWvj2Yg62VCA27fd	40	40	0.0	0.0
C6j3ZI2Hi9ZH3TE4u7	40	40	0.0	0.0
CM6QTQ1cgOtcS1HgP2	40	40	0.0	0.0
CBmnS02l584e0JMSR8	40	40	0.0	0.0
CD54gy3ZnDnh0dpiVe	40	40	0.0	0.0
CamoWY1MmRcTOwWMm	40	40	0.0	0.0
CHnpZc37yfXut0url5	40	40	0.0	0.0
CMg7L31BPQ1WOxaOh3	40	40	0.0	0.0
CcYy8Q33TbeJo5V72i	40	40	0.0	0.0
C29WnA2MkhARzpDYpg	40	40	0.0	0.0
CNtgqC418cGzMWtxf	40	40	0.0	0.0
CxsSao1LapIBdxIMn1	40	40	0.0	0.0
Cph9Rr1FrwsqRd3pFb	40	40	0.0	0.0
CTW6cw3acKH9xTlkf9	40	40	0.0	0.0
C5bCZe2bfK2my53zDj	40	40	0.0	0.0
CN0SV02ps3gMlbzofb	40	40	0.0	0.0
CKjHEl4w1OywYLkMyj	40	40	0.0	0.0
C1S2yG3w930lczrWrh	40	40	0.0	0.0
CzuArJ2uvODolcnou6	40	40	0.0	0.0
CsVAn9VGIvDLcnJIb	40	40	0.0	0.0
C5o9kI1hCJ4ZC1fdP4	40	40	0.0	0.0
C0A7bF3uloaen6cQ34	40	40	0.0	0.0
C1Ckmb2R2KnGBYjHf6	40	40	0.0	0.0
CFCJLl3nhfvyG0Dwo2	40	40	0.0	0.0
Cq0vkb1StRtapn4bb	40	40	0.0	0.0
CAmxmb2BBLIxL8iln6	40	40	0.0	0.0
C0b0Et2ArJvu0du4b5	40	40	0.0	0.0
CCrB8k2SKzJJ2GMn52	40	40	0.0	0.0
Ct6V0Lmx5tb1DXC1c	40	40	0.0	0.0
CgTeTj1jMar6hyp0u	40	40	0.0	0.0
C96YBS1JnlqhEfSNBh	40	40	0.0	0.0
Cp9ytXC0LMUnbCV3i	40	40	0.0	0.0
CGAATB2VKcbEujXkX2	40	40	0.0	0.0
CVzfox3DavRGmiIj85	40	40	0.0	0.0
CMezKz1rpshnNZoNS7	40	40	0.0	0.0
C6pPCb4usFTQBynre7	36,563,563	36,396,2522,395,2689	0.0,0.062953,0.033026	0.0,0.502921,0.000052,0.263392,0.000441
CAdbA61pAIrDGtGts1	40	40	0.0	0.0
CACxhdrW5FH6O6Cz9	40	40	0.0	0.0
CMSgkt11IiMZFAVyq7	40	40	0.0	0.0
CNzs4K27VK7bquSaV2	40	40	0.0	0.0
C77Eze16QvsQQAVErf	40	40	0.0	0.0
CdBTTm1yO6qY6OinT2	40	40	0.0	0.0
CTYqDz3XFmXEHPfGjb	40	40	0.0	0.0
Cyy7OAyoItXkWBmL	40	40	0.0	0.0
CcweDh3HELRuh9BBB7	40	40	0.0	0.0
C9ge5E1VeBayFKAUgj	40	40	0.0	0.0
Cu6j7olKW1gZrqSU8	40	40	0.0	0.0
CpePCz47V5SZmtTXza	40	40	0.0	0.0
CbE8vE28rGbdYv3L05	40	40	0.0	0.0
C8nNha3fJU21g2ZaR2	40	40	0.0	0.0
CHcCqm12Z5UCfywlIb	40	40	0.0	0.0
CYj7Qs4ntldDdkPmY2	40	40	0.0	0.0
Cu45fW1v40gvO1D9O8	40	40	0.0	0.0
CWOB6y475RVQ9Xh5D6	40	40	0.0	0.0
CxJ6oi4i8KExuALFmf	40	40	0.0	0.0
Ca1LHr1bI6D2A9YZl1	40	40	0.0	0.0
CmG0K62qEjN13D6iMc	40	40	0.0	0.0
ClDVrC1KrcfnFqRH63	40	40	0.0	0.0
C0EiV72Zas2kC9Z644	40	40	0.0	0.0
CMHQsd6D6s0pBcIDa	40	40	0.0	0.0
C4HwT24mlR8kxSVdxd	40	40	0.0	0.0
C3D1lO3GASWxXIW49a	40	40	0.0	0.0
C6fwvG4imqPmUcik6j	40	40	0.0	0.0
C215Uf1a3fepLavhX	64	64	0.0	0.0
CUUGyG17ShXLCW5xh6	40	40	0.0	0.0
Cp4c8448Nhc72L48J	40	40	0.0	0.0
CHeDk935JuWjhOrpKb	40	40	0.0	0.0
C8QcTn2q14oh30EB77	40	40	0.0	0.0
CAIKlV2UMFDS2zSzAb	40	40	0.0	0.0
CnX7K1hWC5ZphG4J6	40	40	0.0	0.0
C2Vi231FnTUO5ZRUwk	40	40	0.0	0.0
CgmXAn3DGjVqY57PDl	40	40	0.0	0.0
CVUNn41yaJBVpaE9he	40	40	0.0	0.0
CeY9pt4BxUCPiZ0aDj	40	40	0.0	0.0
C5Wv5q3nLLoJBpi8jc	40	40	0.0	0.0
Ch2dnM2o2bdFQnBmA5	40	40	0.0	0.0
CN26dl6UwxpdvDeE	40	40	0.0	0.0
CeDFe71UmL7GPGNwVe	40	40	0.0	0.0
CTCPy31MnwlsDcHer8	40	40	0.0	0.0
C1Pyjz2uHqEPWuW4m5	40	40	0.0	0.0
CEsovE3wBPyrfY2wFi	40	40	0.0	0.0
CHNBJB14hP30yLqLC6	40	40	0.0	0.0
CF5HfPyXYaINivZTg	40	40	0.0	0.0
Cf3GEr3GUV1HMGRz6f	40	40	0.0	0.0
C718Dtib1EqHaHjN5	40	40	0.0	0.0
CXREGT1qpQAUJSJ2Tk	40	40	0.0	0.0
C9mHg04ls7T3VGO0Ng	40	40	0.0	0.0
CNblYm1xt85NHT5Bs1	40	40	0.0	0.0
CHrilXiyfypA41V79	36,540,547,568	36,396,1620,395,1029,395,3620	0.0,0.041612,0.705716,0.026631	0.0,0.514014,0.000047,4.122131,0.0,5.149473,0.277009
CN9dg33Te5HSNqyHPj	40	40	0.0	0.0
CTXgwx3BjPiE2SUVRd	40	40	0.0	0.0
CNoCbt3NqGIOPAyG7b	40,26	40,26	0.0,0.003303	0.0,0.199457
Cq7NNg2JmTS2Yn1h4c	40	40	0.0	0.0
Co8dVJ179gm6iKp0Nc	40	40	0.0	0.0
CBCon132HIMTJ9ym64	40	40	0.0	0.0
CBrkow2OuitN7bKHqb	40	40	0.0	0.0
CJVieW3GzyCzCcBtDi	40	40	0.0	0.0
CWB1gn2omBTWQFlor1	40	40	0.0	0.0
CkrbMLHDWxgfEmqs5	40	40	0.0	0.0
CBuDB846CmiFyQLta	40	40	0.0	0.0
C64mY63EKv9U8an1V3	40	40	0.0	0.0
CwMYGVcaHq8rDy9rk	40	40	0.0	0.0
C3cvax3bboeCetZiDc	40	40	0.0	0.0
CS4lla1EdMYv92ywJi	40	40	0.0	0.0
CYWNJe4X6y3ONnXgo1	40,26	40,26	0.0,0.010673	0.0,3.206808
CXd5OLpGeefhQAkY	40,1048	40,416	0.0,0.045746	0.0,0.02454
CeQX1b4hz0LsGPKrli	40	40	0.0	0.0
CTkJEa41myu4LDFxK6	40	40	0.0	0.0
CzES2l1XyHePSCKD15	40	40	0.0	0.0
CUCgrr2kXuLWVSioS4	40	40	0.0	0.0
CQtEoB3fCIXSU0SnQc	40,680	40,488,16384,48,16384,48,16384,48,16384,40,16384,48,13712,32	0.0,3.826876	0.0,0.084593,0.103025,0.0,0.148871,0.0,0.086771,0.0,0.087111,0.0,0.002998,0.0,0.094723,0.0
C1Aoqx1X8o544u4TE7	40	40	0.0	0.0
CikqYFxT7cKSkA3E2	40	40	0.0	0.0
Cpords3hFQTHSm9wC7	40	40	0.0	0.0
C7J0HeCE6wtXsvcd1	40	40	0.0	0.0
CCm2st1BBQlHgsNGS1	40	40	0.0	0.0
CIW8Iv1KDVpAxUQHY2	40	40	0.0	0.0
CiStHZ1GajLjCwTKib	64	64	0.0	0.0
Cs4olN1xwWSRkwA1sd	40	40	0.0	0.0
C1I6bH1DdHVM1AZO1	40	40	0.0	0.0
CRBRFUeoCWYYoPtph	40	40	0.0	0.0
C9xTHb1XNMMY5q0Z8h	40	40	0.0	0.0
CqAXGiMtuYpsbINU9	40	40	0.0	0.0
CGdHxt2EegXlXcA55h	40	40	0.0	0.0
CsJUf63tVbkO6Tgahd	40	40	0.0	0.0
C1fa1l1RxfA2hQq4ae	40	40	0.0	0.0
CRp7bw4cctgBQ4wGmh	40	40	0.0	0.0
C6nKBa2VFTCMONzX5l	40	40	0.0	0.0
C1IhdY3jS6oAIx7Kw8	40	40	0.0	0.0
CRLZAH2H7NjkTLlwfa	40	40	0.0	0.0
Ck1NT51vOUK6XEXExd	40	40	0.0	0.0
CYwOXHlTzjGvd15Si	40	40	0.0	0.0
CDNaDR2Gw3jrUoy6U2	40	40	0.0	0.0
ChtuH23kuBQOy3wg69	40,200,200	40,16408,16408,1624,16408,12144,16408,16408,7976,16408,8072,16408,16408,7976,16408,8072,16408,16408,7976,16408	0.0,1.306375,51.429236	0.0,1.174476,0.550129,0.000012,0.012913,0.001274,0.74915,0.002819,0.000993,0.001994,0.000864,0.002118,0.014762,0.000999,0.056012,0.001007,0.537106,0.03461,0.001264,0.001999
CQbg284mvrOjgI3yK8	40	40	0.0	0.0
CRgVUsDnhthPyECc7	40	40	0.0	0.0
CfHKqK2TYbJHXbJcs2	40	40	0.0	0.0
CbQJ591QPt2QdYQS9d	40	40	0.0	0.0
CXbwgN3w6kSTdKlLL9	40	40	0.0	0.0
CEgrQb5CfGndwI1ca	36	36	0.0	0.0
CknKby20oQWi09Umkb	40	40	0.0	0.0
CklhtS1BxDOnLiWCyd	36	36	0.0	0.0
CY3hsZ1mZN0Gh5uQL7	40	40	0.0	0.0
CVzBek33KEwPr9y6Tf	40	40	0.0	0.0
CeILvC2u6HP1NQlpW2	64	64	0.0	0.0
Ck5c3h3cX5mjBFcUPk	40	40	0.0	0.0
CbDmSCoOjw7vE0Hhk	40	40	0.0	0.0
CkqYCb4rDnvo71g5eh	40	40	0.0	0.0
CtcNn32CPGXLVyjY93	40	40	0.0	0.0
CBQjFKNndqCgGZqCa	40	40	0.0	0.0
CSnKsb26GyyvSaP8Gb	40	40	0.0	0.0
CWCSnGptmiVI3F4Xd	40	40	0.0	0.0
CKF9PP21H2Lc2kgWz1	40	40	0.0	0.0
CgZHN21u4QwSNKyuhi	40	40	0.0	0.0
CwNhhC3ODQGleWNlbk	40	40	0.0	0.0
Cvt5Sp115kXAZelK1i	40	40	0.0	0.0
C4r6tL3hhvH7edYJcl	40,496,496,496,488	40,16408,16408,16408,16408,616,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,10896,16408	0.0,0.063868,0.507623,1.711974,0.246362	0.0,0.066082,0.031978,0.002073,0.029955,0.000012,0.066135,0.032226,0.031254,0.003001,0.028917,0.002812,0.004018,0.026237,0.070725,0.002105,0.25588,0.062996,0.031098,0.066958
C5yIv330GIUeR1eVvi	40	40	0.0	0.0
CHBRUCF6clJU6NgXk	40	40	0.0	0.0
CD7bBh4MGPurm2qCV8	40	40	0.0	0.0
CqIqq73vPGHaQDVQ5c	40	40	0.0	0.0
C8h2uRjMWMLP8Ft19	40	40	0.0	0.0
CYd3fIcyi6qJQY5gk	48,32	48,32	0.0,0.537267	0.0,0.203197
CB3dXv21FfO1XWKbWf	40	40	0.0	0.0
ChzCaK1w1YfrCYcl37	40	40	0.0	0.0
Cc6qHH1JHPRX8Mq37c	40	40	0.0	0.0
CFk5Mu4eccjDCRqVjb	40	40	0.0	0.0
Clw3Dw1xATkNzHInAf	40	40	0.0	0.0
CJ2oHf7y7NtC2wMij	40	40	0.0	0.0
CP2eZc41SE6n4LUAlh	64	64	0.0	0.0
CnEVRf2kNh9u8zyOb6	40	40	0.0	0.0
CATbsO3zpCsVTHWKI1	40	40	0.0	0.0
CcCQ2n2RsQT6ZMsfOe	40	40	0.0	0.0
CMsYPM2Q5XnooVfs86	40	40	0.0	0.0
CA3MYN3dZ2GBEu2LY9	40	40	0.0	0.0
Cjh8xl2Asan5mizM3e	40	40	0.0	0.0
CdDBxyET2R7GBX0Rk	36	36	0.0	0.0
CTEZCd3KBQH3bWbkP9	64	64	0.0	0.0
Ca8R1M2Ry55nsXjex4	40	40	0.0	0.0
Cr4nhz489GasY7Vq13	40	40	0.0	0.0
ChuDBP25PcZIWHO08b	40	40	0.0	0.0
C9NmpD38j9pLAHAr1d	40	40	0.0	0.0
C0zwkTEvzEcc8Or7g	40	40	0.0	0.0
CLciaM225FGYxEdmsi	40	40	0.0	0.0
CAziqO1rq39fS0CWce	40	40	0.0	0.0
CJmIjj2iXd9wI8QhZi	40	40	0.0	0.0
CCWqdf1PDBaKmJ054a	40	40	0.0	0.0
CfyUtw167qZl4PeoC8	40	40	0.0	0.0
CQxqBdflGSxxQObjc	40	40	0.0	0.0
CwHbFM3CF8xqw2hEP2	40	40	0.0	0.0
CGktE01v1QuZ4GWYP7	40	40	0.0	0.0
CKUGfB3VbaXWFlt9W4	40	40	0.0	0.0
CxokNMd5tVGO9Dra9	40,26	40,26	0.0,0.002891	0.0,0.176847
CWwcUz29sc5SPXSGDh	36,561,555,550	36,396,2722,394,587,394,512	0.0,0.15897,0.030033,0.028998	0.0,0.418746,0.000673,0.269937,0.0,0.269323,0.0
CqXIpelUzf1E5Ize	40	40	0.0	0.0
C5u3iBqOqzBIRVACd	40	40	0.0	0.0
C0XwLJ2qeA6uaKWuZ	40	40	0.0	0.0
CH9oMp1KkR5EmrulNj	40	40	0.0	0.0
COQ0961KA7ETOyLoq1	40	40	0.0	0.0
CUzczd3qkM1chHaAI1	36,561,554,553,554,552	36,396,2536,394,796,394,545,394,437,394,491	0.0,0.038455,0.110206,0.145958,0.020404,0.019772	0.0,0.848068,0.000056,0.273789,0.0,0.274045,0.0,0.273544,0.0,0.274216,0.0
CkxgS41QVPSSIe7hLe	40	40	0.0	0.0
CHBBrD2ZMGaiwMIGX1	40,680,680,680	40,2936,16208,6096,24	0.0,0.10964,0.539652,0.077768	0.0,0.002385,0.004385,0.002485,65.00159
C939Jm1CIltBSbtNca	40	40	0.0	0.0
CDstOc2uQh9LqMwBk3	40,26	40,26	0.0,0.018545	0.0,0.325193
CGzsSVh1tIfqFLLGe	40	40	0.0	0.0
CWLdXH1XATkaKy5DYe	40	40	0.0	0.0
CZK1qv4R3VniItBbAb	40	40	0.0	0.0
Cra7TH3uqukAdpk5Pj	40	40	0.0	0.0
CxRCOs4JmImxlornu9	40	40	0.0	0.0
CO4HLt2uulQjnTecw5	40	40	0.0	0.0
C2xaWr3zgcGZ9kTkva	40	40	0.0	0.0
CRHD1elqF0EcIxy05	40	40	0.0	0.0
CcA2Kl1FkmuEKuUN27	40	40	0.0	0.0
CoOPRu2qbQut45u0Uk	40	40	0.0	0.0
CcfHA52QGCHRM3Bfq4	40,216	40,2976,3480	0.0,0.060641	0.0,0.025686,0.000706
CtFCnE1jwGdV3qdbhe	40	40	0.0	0.0
CfiRcGra1nYT2Ubf5	40,224	40,1512,1096	0.0,0.119919	0.0,0.034119,0.0
CErtKu4KeIpSP9WKXk	40	40	0.0	0.0
C5B08Z1FZ5kzNpZnH2	40	40	0.0	0.0
CG1ESy408OTPixQhjg	40	40	0.0	0.0
CaZlxYaD8NrhZpOE2	40	40	0.0	0.0
CR1DclfyUrAGkCE2i	40	40	0.0	0.0
CzzwNO14OTiuZevXMd	40	40	0.0	0.0
CkFzrU3xL6X7S0Roja	40	40	0.0	0.0
C61bSJ3QelXBfYv9t4	40	40	0.0	0.0
